,lat,lon,capacity,name,distrito
153,37.4247213,-5.9699087,20,,1
154,37.4185712,-5.9732617,20,,3
155,37.3851694,-6.0036808,14,,1
156,37.3833998,-6.0082126,18,,3
157,37.3869518,-6.0076608,20,,1
158,37.3688783,-5.9813853,20,real,2
159,37.3860346,-5.9100839,30,,3
160,37.3859534,-5.9137797,30,,2
161,37.3841827,-5.9798343,20,,2
162,37.3842949,-5.9824304,20,,1
163,37.3937233,-5.9818532,20,,2
164,37.3647499,-5.9814522,20,,4
165,37.3961269,-5.9588167,20,,1
166,37.3938599,-5.9623474,15,,3
167,37.3807308,-6.0092094,15,,2
168,37.3730403,-5.9691616,17,ndez,4
169,37.3801273,-5.9971188,20,,2
170,37.3687499,-5.9572158,15,,3
171,37.3723655,-5.9632292,20,,2
172,37.3846992,-5.9725875,30,,2
173,37.382817,-5.9735307,15,,1
174,37.3806956,-5.9869575,20,,1
175,37.3813994,-5.9867247,40,,1
176,37.3957014,-5.9737119,20,,4
177,37.3636194,-5.9847852,20,,1
178,37.3740394,-6.0041982,20,,4
179,37.3747704,-5.9985362,24,,1
180,37.3745382,-5.9947455,17,,3
181,37.3731194,-5.9976102,20,,4
182,37.3736779,-5.9854767,20,,4
183,37.3760219,-5.9790768,20,,3
184,37.3750412,-5.9757977,15,rio,4
185,37.3723704,-5.9773621,16,,4
186,37.371606,-5.9818494,20,,4
187,37.3716758,-5.9975514,18,,4
188,37.3715555,-6.0032632,18,,2
189,37.369057,-5.9879693,20,,2
190,37.3602332,-5.9863182,20,,4
191,37.3601006,-5.986313,20,,2
192,37.3986121,-5.973625,20,,1
193,37.3978221,-5.9760843,20,,1
194,37.3967485,-5.9786342,20,,2
195,37.4004879,-5.9983869,20,,1
196,37.3987216,-5.9895023,15,,4
197,37.3712795,-5.9891934,18,,2
198,37.3912974,-5.9881754,14,,2
199,37.3907943,-5.982764,20,,3
200,37.3812308,-5.9935552,20,,4
201,37.3854144,-6.0111606,20,,2
202,37.3831234,-6.0108763,15,,4
203,37.3815146,-5.9955663,20,,3
204,37.3817511,-5.9933071,30,,2
205,37.3589104,-5.9806202,19,,3
206,37.3801188,-6.0043502,20,a,1
207,37.3777579,-6.0070758,20,,1
208,37.3614304,-5.9816032,20,,1
209,37.3773761,-5.9918804,20,,2
210,37.3785777,-5.9784022,20,,1
211,37.3777629,-5.9773334,20,,4
212,37.3946087,-5.9799727,20,,1
213,37.3629714,-5.9862622,27,,2
214,37.3697994,-5.9781947,20,real,1
215,37.4000005,-5.9691031,20, Valle,2
216,37.3790204,-5.9688772,18,rero,1
217,37.3885079,-5.959401,13,,4
218,37.376576,-5.9727121,20,,3
219,37.3670886,-5.971157,19,,1
220,37.3695198,-5.9686169,20,,1
221,37.377487,-5.9665541,20,n,1
222,37.4110149,-5.971678,15,,3
223,37.4086593,-5.9731965,20,zquez,2
224,37.3700534,-5.9594961,20,,1
225,37.3741964,-6.0088305,20,,1
226,37.3783344,-6.0115563,19,,4
227,37.3811114,-6.0120053,20,,4
228,37.4189136,-5.9632171,20,,2
229,37.4114666,-5.9667631,20,,2
230,37.3976897,-5.9616014,15,,4
231,37.3871628,-5.9483902,20,ox. Entrada TUSSAM,4
232,37.3970135,-5.923757,15,,4
233,37.3973905,-5.918777,15,,1
234,37.4028629,-5.9217537,15,s,2
235,37.4039396,-5.939739,15,ela,2
236,37.4117358,-5.9298591,15,,1
237,37.4102171,-5.9264224,15,,3
238,37.4081326,-5.919993,15,,2
239,37.3888532,-5.9962357,20,,3
240,37.38889,-5.9962396,20,,4
241,37.4247584,-5.9848237,15,,4
242,37.3843494,-5.9653784,15,,1
243,37.3837695,-5.9089219,20,,1
244,37.3673184,-5.9541171,30,,3
245,37.378801,-5.9456668,20,,4
246,37.3902925,-5.9799642,15,ny,3
248,37.3757344,-5.9991689,18,,4
249,37.3896128,-5.9857063,,,2
