type_,desc_type,nom_res,wdpaid,statu_crea,statu_amgt,date_prop,date_amgt,date_crea,last_edited_date,last_edited_user,created_user,created_date,objectid,globalid,sup_mar_ha,sup_adm_ha,sup_sig_ha,shape_Length,shape_Area
4100110,Forêt de protection,Barombi Mbo,478171,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,21,{38178BE2-2AB7-4B2E-AB4E-A6CD5D09879E},0,,921,0.122487391931588,0.000751123849885311
4100110,Forêt de protection,Nkom Wum,478157,cree,,,,1951/10/01 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,22,{02B908A2-BCB6-433C-8C14-D354C8CA544C},0,8029,11690,0.861028039410127,0.00955649959959737
4100110,Forêt de protection, ,,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,23,{E9DDD859-87CD-435A-B0FB-0E1CB8210098},0,,1823,0.163063477620869,0.0014839912663892
4100110,Forêt de protection,So-Lala,478189,cree,amenge,,,,2021/11/10 09:17:22+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,24,{E0C36A3F-6917-4DA9-ADCC-2D1CA16D99DF},0,39780,40112,1.00009754064168,0.0326111118178848
4100110,Forêt de protection,Baleng,478181,cree,,,,1934/01/01 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,25,{55C5F384-1C7A-4A7E-835F-906731F40576},0,300,277,0.0629702466326455,0.000226096869176041
4100110,Forêt de protection,Zamakoe,,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,26,{8CE16F6F-3D90-4843-9F0D-A21453C6E988},0,4200,4221,0.341152932801856,0.0034312851963386
4100110,Forêt de protection,Sangmelima,,cree,,,,,2021/11/10 09:17:22+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,28,{D8319314-98F6-4B32-B446-7D6C84BED172},13760,,13798,0.523099363329378,0.0112041989353824
4100110,Forêt de protection,Nkounchankap,478180,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,29,{8CEE1493-4533-407A-BDFE-59DB7B04D03C},0,,540,0.0955783836342998,0.000440682676434098
4100110,Forêt de protection, ,,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,30,{F984300E-D157-4DD6-A805-CCEA6E0E235A},0,,4638,0.336385203133366,0.00376930814360486
4100110,Forêt de protection,Mont Rata,478164,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,31,{981C4D2F-5B64-4F02-8E06-D04EFA084A64},0,,3892,0.351677939724154,0.00317567528228462
4100110,Forêt de protection,Fibe Mafhou,478184,cree,,,,1947/07/29 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,32,{1170785B-1D7A-422F-A013-F5741C9D74C5},0,6500,9078,0.472763140053583,0.00740510701134237
4100110,Forêt de protection,Ototomo,478155,cree,amenge,,,1930/10/30 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,33,{10B071CB-96FA-4887-8998-35E3FAC595CA},0,2472,2662,0.217792377947628,0.0021651451541108
4100110,Forêt de protection,Mongoe Nkam,478159,cree,,,,1947/07/29 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,35,{79B86240-0228-4E3A-9EA2-FA96F9D1996F},0,1200,1410,0.176801328255004,0.00115029403122388
4100110,Forêt de protection,Lac Dissoni,478169,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,37,{2439DC16-B8ED-4D71-8E0A-8D95B67BFA4E},0,,1031,0.115719506132021,0.000840729908121542
4100110,Forêt de protection, ,,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,38,{E73EDAF3-8290-4337-B750-F7FF8CFD1631},0,,12667,0.926607323596274,0.0103088504787643
4100110,Forêt de protection, ,,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,39,{804B511B-B578-46D7-9D8F-640B7DB076C8},0,,5373,0.365216336768086,0.00436826409170276
