"iso","umd_tree_cover_extent_2000__ha","area__ha"
"KAZ",4240315.679628245460874075,273053036.224308726264452226
"KEN",3319482.95848815026193969,58598335.71896833094025951
"KGZ",674974.25637385651125693,19864898.70385206280457298
"KHM",8809929.84861431285892120,18135960.79359191631234352
"KIR",0.0,689.8485050325128
"KNA",13259.95374941170181081,26717.78772642989474836
"KOR",5367962.225609631741526917,10022829.791973574934502259
"KWT",0.0,1738893.79534992926267586
"LAO",19129551.50593078303769145,23000147.78672161974377499
"LBN",65235.17381314901560886,1023803.86081599458647459
"LBR",9384713.47510011782479844,9591801.58297115048656268
"LBY",6833.00933028981397950,161606184.8479427905782329
"LCA",50731.18581796252872064,61447.62916553653143739
"LIE",9077.33799998589190875,16203.80932192960378317
"LKA",3939923.71486803881625699,6583727.01456334080308232
"LSO",6051.93664161028223179,3054531.16285719670715987
"LTU",2336226.27916492675561009,6501662.939353808270431775
"LUX",101326.485406818488469336,258155.739396158563011966
"LVA",3553506.464905933342725656,6470996.260925067604658191
"MAC",413.1857473977996614,3412.78642429264738326
"MAF",1849.57709341619058489,5616.34278553866229549
"MAR",648568.62339048725790739,41348767.35080063985399430
"MCO",0.3916300133007813,235.297484478532994066
"MDA",356012.101750252714230316,3390780.83907752563921415
"MDG",17141085.63788040551363035,59144707.32516429049441351
"MDV",5569.75391625988448334,27912.71303579206626584
"MEX",53177141.60100900502297844,195185464.54581907932443101
"MKD",781684.416775696584321925,2482514.95761457542725836
"MLI",25097.99975557793674759,125119256.16729597485720886
"MLT",116.70431756518231113,32334.79077928862774668
"MMR",42863374.09366624106061226,66929667.32947902707748341
"MNE",616440.45620638310512471,1333523.258734743385311104
"MNG",4090464.886503634439810196,156624744.504992784822964295
"MOZ",28917947.26893745437467118,78729716.65135497069384101
"MRT",33.31622286066296336,104117150.64117235521201762
"MSR",4582.52725114229827515,10061.82207914754509376
"MTQ",74649.67904764379375476,111787.95517227543790067
"MUS",71304.81704856835978164,191366.76446960785287740
"MWI",1521821.68799237752398607,11802885.39490325046835142
"MYS",29430562.39760444555127477,32938348.75983493728593286
"MYT",33577.05042571989209577,39165.17965126959888748
"NAM",3835.35235433686030003,82385622.18475075018764602
"NCL",1440330.50387025718311449,1882559.40746858912898419
"NER",2.32870724518934494,118366970.16952213882332820
"NFK",0.0,4062.59887483270603
"NGA",10048731.32858052366899953,90840998.02040036095462167
"NIC",7776807.52116441254048960,12821978.47609587608832403
"NLD",593051.675286921271085104,3766566.364398857403854899
"NOR",11739521.784679622455344167,32512221.025826402098240851
"NPL",5161040.90247140096267887,14766249.54441011413484867
"NRU",0.0,2215.23352633937021
"NZL",11255742.600712236410561011,26716575.124389505964067304
"OMN",0.3597874400195312,30933274.08645130697868667
"PAK",978655.88916241304784591,87417630.59556673666631998
"PAN",5700499.75915414618176098,7510419.90445371698363523
"PER",78087222.68306209121153334,129281868.51759557369551354
"PHL",18599416.94134110412875670,29585658.16289540714293354
"PLW",41263.46520917823748934,48743.20538078760631922
"PNG",42921809.05075293332516858,46363061.21418283821345119
"POL",10439489.725115129374271330,31239917.800095096466872200
"PRI",523696.33607200479454098,897037.27464475721600909
"PRK",5196389.71427668239006106,12275519.138588504976638159
"PRT",2302481.424513366160169925,8955505.678182387941214481
"PRY",24296867.55250794669568298,39958667.52153063692700192
"PSE",614.76689884244834817,621996.68332007957188962
"QAT",0.0,1162493.79962663976931218
"REU",170474.5250729163002339,251271.1050147099729354
"ROU",7915161.125357505241478225,23833793.63877934336896954
"RUS",761226496.941582885235019758,1689423579.221007290795072150
"RWA",497885.77544611713576690,2527769.91218281846784067
"SAU",6.80771239235242946,191598433.63239193547594030
"SDN",72712.56006031934215968,187102828.82492713519277259
"SEN",39568.36253797141013379,19688982.71259497571853260
"SGP",18784.23099652326799820,69703.69605878578116782
"SJM",0.0,5442472.3736775590208
"SLB",2741617.78668097937526070,2853324.00584823633410554
"SLE",5617878.28584840216757355,7260135.88614697728364166
"SLV",988823.30823611845245496,2042272.85894923573447464
"SMR",829.5404327158810796,6122.3529601870844504
"SOM",87128.07478370889219705,63353849.52120376243905844
"SPM",5454.07197222312035097,22663.41677143500404799
"SRB",2730300.360427953302729518,7823140.491428801963052389
"SSD",11386559.49756453138170005,62617136.13477863833333595
"STP",14213.5747068487891853,100217.9877254047366854
"SUR",13949809.56768350923456084,14642556.86529184887726598
"SVK",2397197.26600282405443083,4909915.804720809342966024
"SVN",1293520.687201138522565569,1998090.785493050918236142
"SWE",27883714.002102406978527064,45004558.106550200092552068
"SWZ",469227.38864805592868005,1738333.06301438675824517
"SXM",1022.17978238478356905,3801.38751521774384746
"SYC",6209.624619393047506,20267.93208729000032230
"SYR",105939.86933258970896672,18691798.39213464906902705
"TCA",10851.31188484849843804,99152.01584846004907640
"TCD",409749.29467147297811286,126995174.50107356581347047
"TGO",558803.51325527108028305,5699519.20201705784059273
"THA",19962441.08856459936443917,51405448.59427819827354521
"TJK",60256.648494326594441554,14211295.405720237634699545
"TKM",10176.935689059631236204,48959209.554215377122025716
"TLS",726234.45140169441782335,1491565.39233701466988002
"TTO",391844.28193398229998844,515899.59454437349013404
"TUN",223827.61987847378525047,15486458.270953173537471294
"TUR",10060827.805633424479431106,78070340.890012988434158423
"TUV",0.0,49.9008349886126798
"TWN",2342180.54739486230896564,3640651.39732427790178961
"TZA",26406465.77483978330233043,94057690.73100819498396561
"UGA",7764958.85456220373457066,24143952.93930383781799710
"UKR",11123270.038899472346260739,59933686.795344893357339149
"UMI",145.8981168277605118,541.6797628049933718
"URY",1697322.42308114138546051,17746574.34434755974203227
"USA",279376627.649935848179313884,947295610.248262050006958312
"UZB",106176.25729182977909503,44755388.10019574069652743
"VAT",4.838481851469184,52.878039684036383584
"VCT",29110.61416116663368623,39788.97162863020350000
"VEN",56533524.97090055771545471,91249225.52623496356487842
"VGB",7463.88088378357065075,16932.04449944593060826
"VIR",18997.90728331075129592,36213.91572681749529957
"VNM",16551332.11341415012278857,32927599.94752510752970322
"VUT",1181152.06497090033888403,1231886.10315650551353535
"XAD",455.93756603192618226,23448.38132255780570533
"XCA",141764.26840791200038190,37158133.71155851389409718
"XCL",0.0,1008.639098371928953
"XKO",370224.383966768489074841,1091976.447946004136007936
"XNC",12307.27552925239315270,331406.91415758923702299
"XPI",0.0,1969.212716115983671
"XSP",0.0,188.15293746538872
"YEM",126.16372333518280292,45220898.29137351962159586
"ZAF",5983115.28501287257397072,121971018.80353808650279131
"ZMB",24050819.11173261990906477,75049201.88692539269376228
"ZWE",1414326.42467240548126267,39068111.13497704293441060
